id,natural_cidade_campus,qtd_periodos_cursados,genero,cor
623,N,16,M,Preta
624,N,2,F,Preta
625,N,2,F,Preta
628,N,2,F,Branca
629,N,4,F,Branca
630,N,2,F,Preta
632,S,1,F,Branca
633,S,10,F,Branca
634,S,4,M,Parda
637,N,4,M,Parda
639,N,8,F,Parda
640,N,2,F,Parda
647,N,1,F,Branca
652,N,1,M,Parda
657,S,18,M,Branca
661,N,7,M,Parda
682,N,1,F,Branca
683,N,2,F,Branca
684,N,4,F,Branca
685,S,1,F,Parda
704,N,2,F,Branca
705,N,2,F,Branca
707,N,2,F,Branca
708,N,1,F,Branca
709,N,1,F,Branca
710,N,1,F,Branca
715,N,2,F,Parda
716,N,2,F,Parda
737,S,2,F,Branca
738,N,1,F,Branca
739,N,3,F,Branca
744,S,4,F,Branca
745,S,2,F,Branca
751,S,1,M,Branca
752,S,8,M,Branca
753,S,8,M,Branca
754,S,2,M,Branca
767,N,4,M,Branca
768,N,2,M,Branca
769,S,1,M,Branca
771,N,1,M,Parda
772,N,6,M,Parda
773,N,1,M,Parda
775,N,2,F,Branca
778,S,2,M,Branca
779,S,1,M,Branca
782,S,1,M,Branca
783,S,1,M,Branca
786,N,4,F,Branca
790,S,2,F,Parda
792,S,2,M,Branca
793,S,3,M,Branca
794,N,5,F,Preta
798,N,14,M,Parda
800,S,7,F,Branca
802,N,2,F,Branca
805,N,2,F,Branca
806,N,2,F,Branca
820,S,1,F,Branca
821,S,9,F,Branca
827,N,9,M,Branca
834,N,1,M,Parda
839,S,2,F,Branca
840,S,4,F,Branca
845,S,5,M,Preta
846,S,1,M,Preta
849,S,7,F,Branca
850,S,3,F,Branca
855,S,10,M,Branca
857,N,3,M,Branca
858,N,5,M,Branca
862,N,16,M,Parda
863,S,4,M,Branca
864,S,2,M,Branca
871,N,2,F,Branca
872,N,2,F,Branca
873,N,4,F,Branca
874,S,2,F,Parda
875,S,2,F,Parda
883,N,8,F,Branca
885,S,6,F,Parda
886,S,4,F,Parda
887,S,4,F,Parda
891,N,3,F,Branca
892,N,1,F,Branca
896,N,9,M,Branca
899,N,9,F,Parda
900,N,2,F,Parda
903,N,5,M,Parda
904,N,2,M,Parda
907,N,7,F,Parda
913,N,2,F,Preta
927,S,3,M,Parda
931,N,6,M,Branca
933,N,3,M,Branca
934,N,3,M,Branca
935,N,2,M,Branca
936,N,11,M,Branca
942,N,2,F,Branca
943,N,1,F,Branca
953,S,6,M,Parda
954,S,4,M,Parda
956,N,2,F,Parda
957,S,2,F,Branca
958,S,2,F,Branca
967,N,1,M,Parda
968,N,1,M,Parda
973,S,7,F,Parda
975,N,2,F,Branca
976,N,2,F,Branca
985,N,2,F,Branca
986,N,1,F,Branca
987,N,2,M,Branca
988,N,4,M,Branca
989,S,4,M,Parda
990,S,2,M,Parda
992,S,3,M,Branca
993,N,1,M,Parda
994,N,1,M,Parda
998,N,10,F,Branca
1010,N,5,M,Preta
1013,S,10,M,Parda
1015,S,1,F,Parda
1019,N,1,M,Parda
1021,N,1,M,Parda
1022,N,2,F,Branca
1027,S,1,F,Branca
1030,S,1,F,Branca
1033,N,1,M,Branca
1034,S,1,M,Branca
1036,N,10,F,Parda
1044,S,1,M,Branca
1046,N,7,M,Preta
1049,N,2,M,Branca
1054,S,3,M,Branca
1056,N,1,M,Preta
1057,N,2,M,Branca
1058,S,6,M,Parda
1062,N,1,M,Branca
1065,N,1,F,Parda
1066,N,6,F,Preta
1068,S,5,F,Branca
1071,N,1,F,Branca
1072,N,1,F,Branca
1074,S,8,F,Branca
1075,N,8,F,Parda
1080,N,3,M,Parda
1090,N,6,F,Branca
1096,N,1,F,Branca
1098,N,8,F,Parda
1100,N,5,F,Parda
1101,N,1,F,Branca
1105,N,6,F,Branca
1107,N,1,F,Branca
1108,N,1,F,Parda
1109,N,6,F,Branca
1110,S,2,F,Preta
1116,S,8,F,Branca
1118,S,10,F,Branca
1120,N,8,F,Branca
1121,S,2,F,Branca
1123,S,1,F,Branca
1125,N,8,F,Branca
1126,N,1,F,Branca
1127,N,1,F,Branca
1131,S,10,F,Branca
1133,S,2,F,Branca
1140,N,2,F,Branca
1143,S,1,F,Branca
1144,S,10,F,Branca
1145,N,4,F,Parda
1147,N,2,F,Branca
1150,N,6,F,Branca
1158,N,2,F,Branca
1159,N,2,F,Branca
1160,S,2,F,Branca
1161,N,2,F,Branca
1167,N,1,F,Branca
1170,N,8,M,Parda
1173,N,4,M,Parda
1177,N,6,M,Branca
1178,N,2,M,Branca
1179,N,3,M,Parda
1181,S,2,M,Branca
1186,N,6,F,Parda
1187,S,2,F,Branca
1188,N,2,F,Branca
1189,N,3,F,Branca
1190,S,2,F,Branca
1196,N,1,F,Branca
1199,S,4,F,Branca
1202,N,1,F,Branca
1203,S,8,F,Branca
1204,S,2,F,Branca
1205,N,4,F,Branca
1206,S,2,F,Branca
1208,S,2,F,Branca
