id,idade_ingresso,ano_ingresso,tempo_entre_conclusao_em_ingresso,carga_horaria,forma_ingresso,curso,ano_conclusao,situacao_matricula
5900,20,2022,1,3210,SISU,Ciência da Computação,0,Matriculado
5902,22,2021,4,3600,SISU,Engenharia Elétrica,0,Matriculado
5907,19,2019,1,3600,SISU,Engenharia Elétrica,0,Matriculado
5908,19,2022,0,3210,SISU,Ciência da Computação,0,Matriculado
5909,23,2019,6,1620,SISU,Gestão Financeira,0,Evadido
5911,18,2020,1,3600,SISU,Engenharia Elétrica,0,Matriculado
5915,18,2020,1,3000,SISU,Administração,0,Matriculado
5916,26,2018,10,1620,Obtenção de novo título,Gestão Financeira,2020,Formado
5919,22,2022,4,3000,SISU,Administração,0,Evadido
5921,19,2021,0,3600,SISU,Engenharia Elétrica,0,Matriculado
5926,19,2020,1,3600,SISU,Engenharia Elétrica,0,Matriculado
5928,19,2021,1,3210,SISU,Ciência da Computação,0,Evadido
5930,31,2022,10,3210,SISU,Matemática,0,Matriculado
5935,19,2021,0,3600,SISU,Engenharia Elétrica,0,Evadido
5937,37,2020,20,3210,SISU,Ciência da Computação,0,Matriculado
5938,18,2020,1,3600,SISU,Engenharia Elétrica,0,Matriculado
5940,22,2018,3,3000,SISU,Administração,0,Evadido
5942,21,2022,2,3600,SISU,Engenharia Elétrica,0,Matriculado
5947,19,2021,2,3600,SISU,Engenharia Elétrica,0,Matriculado
5948,19,2021,0,3210,SISU,Ciência da Computação,0,Matriculado
5950,18,2020,1,3210,SISU,Ciência da Computação,0,Evadido
5951,19,2019,1,3000,SISU,Administração,0,Evadido
5952,19,2018,1,1620,Vestibular,Gestão Financeira,2020,Formado
5956,22,2019,5,2805,SISU,Matemática,2022,Formado
5959,18,2018,1,1620,SISU,Gestão Financeira,0,Evadido
5960,18,2019,1,1620,SISU,Gestão Financeira,2021,Formado
5961,19,2020,2,3000,SISU,Administração,0,Evadido
5967,20,2018,2,3000,Vestibular,Administração,0,Evadido
5968,39,2021,20,3210,Obtenção de novo título,Matemática,0,Evadido
5973,19,2019,2,3000,SISU,Administração,0,Matriculado
5975,34,2018,15,2805,SISU,Matemática,0,Evadido
5977,21,2019,4,2805,SISU,Matemática,0,Matriculado
5980,21,2019,4,2805,SISU,Matemática,0,Matriculado
5989,20,2019,1,3210,SISU,Ciência da Computação,0,Matriculado
5990,26,2020,8,3000,SISU,Administração,0,Evadido
