id,campus,curso,turno,ultima_avaliacao_mec,relacao_aluno_professor,perc_rfp_ate_1salmeio_curso,area_conhecimento,grau_academico
15435,Sabará,Engenharia de Controle e Automação,Integral,0,4.30,40,Engenharias,Bacharelado
15436,Sabará,Processos Gerenciais,Noturno,3,1.20,41,Ciências Sociais Aplicadas,Tecnológico
15439,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15440,Sabará,Administração,Integral,0,2.70,39,Ciências Sociais Aplicadas,Bacharelado
15441,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15442,Sabará,Engenharia de Controle e Automação,Integral,0,4.30,40,Engenharias,Bacharelado
15443,Sabará,Administração,Noturno,0,2.70,39,Ciências Sociais Aplicadas,Bacharelado
15444,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15445,Sabará,Engenharia de Controle e Automação,Integral,0,4.30,40,Engenharias,Bacharelado
15448,Sabará,Processos Gerenciais,Noturno,3,1.20,41,Ciências Sociais Aplicadas,Tecnológico
15450,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15453,Sabará,Processos Gerenciais,Noturno,3,1.20,41,Ciências Sociais Aplicadas,Tecnológico
15454,Sabará,Administração,Noturno,0,2.70,39,Ciências Sociais Aplicadas,Bacharelado
15456,Sabará,Engenharia de Controle e Automação,Integral,0,4.30,40,Engenharias,Bacharelado
15457,Sabará,Engenharia de Controle e Automação,Integral,0,4.30,40,Engenharias,Bacharelado
15458,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15460,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15462,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15464,Sabará,Processos Gerenciais,Noturno,3,1.20,41,Ciências Sociais Aplicadas,Tecnológico
15465,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15466,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15467,Sabará,Engenharia de Controle e Automação,Integral,0,4.30,40,Engenharias,Bacharelado
15469,Sabará,Administração,Integral,0,2.70,39,Ciências Sociais Aplicadas,Bacharelado
15470,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15471,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15472,Sabará,Administração,Integral,0,2.70,39,Ciências Sociais Aplicadas,Bacharelado
