id,natural_cidade_campus,qtd_periodos_cursados,genero,cor
2054,N,4,M,Parda
2059,N,8,F,Preta
2060,S,8,F,Parda
2062,N,9,M,Parda
2079,N,5,M,Branca
2091,N,5,M,Parda
2095,N,6,M,Parda
2100,S,2,M,Branca
2106,N,9,M,Parda
2112,N,8,M,Parda
2119,N,6,M,Parda
2127,N,10,M,Branca
2134,N,8,M,Parda
2135,N,8,M,Preta
2159,N,8,F,Parda
2164,N,8,F,Branca
2188,S,2,M,Branca
2193,N,6,F,Branca
2208,S,8,F,Parda
2215,S,6,F,Parda
2217,S,8,M,Branca
2225,N,2,F,Branca
2233,N,7,F,Preta
2245,S,10,M,Parda
2250,S,8,F,Branca
2251,N,4,F,Branca
2261,N,6,F,Branca
2262,S,4,F,Parda
2268,N,8,F,Branca
2271,N,6,F,Branca
2272,S,2,F,Parda
2281,N,8,F,Parda
2283,N,10,M,Parda
2284,S,8,F,Parda
2289,S,8,M,Branca
2295,N,8,M,Branca
2317,N,1,F,Parda
2331,S,6,F,Branca
2346,N,8,F,Branca
2348,N,4,F,Branca
2353,S,4,F,Branca
2357,N,9,M,Branca
2362,N,9,F,Parda
2378,S,2,F,Branca
2379,N,1,F,Parda
2387,N,10,F,Preta
2388,N,4,F,Branca
2392,S,9,F,Branca
2404,N,6,M,Parda
2409,N,2,M,Branca
2416,N,4,M,Branca
2440,N,7,M,Preta
2448,S,6,F,Branca
2453,N,6,M,Parda
2465,N,8,M,Branca
2476,N,8,M,Branca
2477,N,10,M,Branca
2484,N,8,M,Parda
2489,N,1,M,Branca
2497,N,8,F,Branca
2520,S,7,F,Parda
2526,N,4,M,Parda
2528,N,1,M,Branca
2566,S,4,F,Preta
2573,N,2,F,Branca
2579,N,3,F,Branca
2581,S,2,F,Parda
2584,N,4,F,Parda
2586,S,10,F,Parda
2587,S,6,F,Branca
2588,N,8,F,Branca
2603,N,6,F,Parda
2606,N,8,F,Preta
2607,N,8,F,Parda
2609,N,10,F,Parda
2613,N,2,F,Branca
2614,N,8,F,Branca
2617,S,9,F,Parda
2628,N,4,F,Parda
2636,S,6,F,Preta
2638,N,8,F,Preta
2651,S,8,F,Preta
2671,S,8,F,Parda
2718,N,8,F,Branca
2726,N,4,M,Branca
2771,N,6,F,Parda
2780,S,10,F,Branca
2785,N,8,F,Parda
2799,S,8,F,Branca
2817,S,6,F,Parda
2819,S,8,F,Parda
2829,N,8,M,Preta
2838,N,9,F,Parda
2843,N,2,F,Branca
2858,N,2,M,Branca
2878,N,4,M,Parda
2906,S,3,M,Branca
2911,N,2,M,Branca
2926,S,4,F,Branca
2927,S,8,F,Parda
2959,N,8,F,Parda
2960,N,4,F,Parda
2974,N,5,M,Parda
2975,N,2,M,Preta
2986,N,4,M,Parda
3027,N,10,M,Branca
3040,N,2,F,Branca
3044,N,3,F,Parda
